market_id,display_name,category,process_family,target_variable,model_status,threshold_validation_status,historical_data_status,confidence_status,conservative_probability_status,odds_api_support,dk_contract_verified,requires_starting_goalie,requires_projected_active,requires_play_by_play,requires_joint_simulation,parlay_eligibility_status,can_calculate_true_p_today,can_calculate_market_novig_p_today,can_calculate_edge_ev_today,can_issue_operational_decision_today,prospective_validation_status,biggest_blocker,notes
PLAYER_SOG_1PLUS,Player 1+ SOG,PLAYER_SOG,PLAYER_SHOT_GENERATION|PLAYER_ACTIVE_ROLE_TOI,P(player SOG >= n),DERIVABLE_NOT_VALIDATED,DERIVABLE_TRIVIAL_NOT_VALIDATED,AVAILABLE_USED,CURRENT_FRAMEWORK,IMPLEMENTED,UNKNOWN,False,False,True,False,False,NOT_YET_ELIGIBLE,NO,"NO (no live sportsbook price exists for any NHL prop market yet, confirmed empirically 2026-08-30)",NO (requires market no-vig P),NO (requires real market price),NOT_STARTED (2026-27 season not begun),"Trivial/derivable target, never separately bootstrap-validated","research/player_sog_results.json confidence_breakdown/season_breakdown, thresholds 2-5. 1+ never separately tested (near-universal base rate, not a real book market). 6+/7+/8+ never bootstrap-validated -- real tail sparsity, not extrapolated."
PLAYER_SOG_2PLUS,Player 2+ SOG,PLAYER_SOG,PLAYER_SHOT_GENERATION|PLAYER_ACTIVE_ROLE_TOI,P(player SOG >= n),VALIDATED,VALIDATED,AVAILABLE_USED,CURRENT_FRAMEWORK,IMPLEMENTED,SUPPORTED,False,False,True,False,False,ELIGIBLE,YES,"NO (no live sportsbook price exists for any NHL prop market yet, confirmed empirically 2026-08-30)",NO (requires market no-vig P),NO (requires real market price),NOT_STARTED (2026-27 season not begun),"No live DraftKings price posted yet (preseason, confirmed empirically 2026-08-30)","research/player_sog_results.json confidence_breakdown/season_breakdown, thresholds 2-5. 1+ never separately tested (near-universal base rate, not a real book market). 6+/7+/8+ never bootstrap-validated -- real tail sparsity, not extrapolated."
PLAYER_SOG_3PLUS,Player 3+ SOG,PLAYER_SOG,PLAYER_SHOT_GENERATION|PLAYER_ACTIVE_ROLE_TOI,P(player SOG >= n),VALIDATED,VALIDATED,AVAILABLE_USED,CURRENT_FRAMEWORK,IMPLEMENTED,SUPPORTED,False,False,True,False,False,ELIGIBLE,YES,"NO (no live sportsbook price exists for any NHL prop market yet, confirmed empirically 2026-08-30)",NO (requires market no-vig P),NO (requires real market price),NOT_STARTED (2026-27 season not begun),"No live DraftKings price posted yet (preseason, confirmed empirically 2026-08-30)","research/player_sog_results.json confidence_breakdown/season_breakdown, thresholds 2-5. 1+ never separately tested (near-universal base rate, not a real book market). 6+/7+/8+ never bootstrap-validated -- real tail sparsity, not extrapolated."
PLAYER_SOG_4PLUS,Player 4+ SOG,PLAYER_SOG,PLAYER_SHOT_GENERATION|PLAYER_ACTIVE_ROLE_TOI,P(player SOG >= n),VALIDATED,VALIDATED,AVAILABLE_USED,CURRENT_FRAMEWORK,IMPLEMENTED,SUPPORTED,False,False,True,False,False,ELIGIBLE,YES,"NO (no live sportsbook price exists for any NHL prop market yet, confirmed empirically 2026-08-30)",NO (requires market no-vig P),NO (requires real market price),NOT_STARTED (2026-27 season not begun),"No live DraftKings price posted yet (preseason, confirmed empirically 2026-08-30)","research/player_sog_results.json confidence_breakdown/season_breakdown, thresholds 2-5. 1+ never separately tested (near-universal base rate, not a real book market). 6+/7+/8+ never bootstrap-validated -- real tail sparsity, not extrapolated."
PLAYER_SOG_5PLUS,Player 5+ SOG,PLAYER_SOG,PLAYER_SHOT_GENERATION|PLAYER_ACTIVE_ROLE_TOI,P(player SOG >= n),VALIDATED,VALIDATED,AVAILABLE_USED,CURRENT_FRAMEWORK,IMPLEMENTED,UNKNOWN,False,False,True,False,False,ELIGIBLE,YES,"NO (no live sportsbook price exists for any NHL prop market yet, confirmed empirically 2026-08-30)",NO (requires market no-vig P),NO (requires real market price),NOT_STARTED (2026-27 season not begun),"No live DraftKings price posted yet (preseason, confirmed empirically 2026-08-30)","research/player_sog_results.json confidence_breakdown/season_breakdown, thresholds 2-5. 1+ never separately tested (near-universal base rate, not a real book market). 6+/7+/8+ never bootstrap-validated -- real tail sparsity, not extrapolated."
PLAYER_SOG_6PLUS,Player 6+ SOG,PLAYER_SOG,PLAYER_SHOT_GENERATION|PLAYER_ACTIVE_ROLE_TOI,P(player SOG >= n),INSUFFICIENT_TAIL_DATA,INSUFFICIENT_TAIL_DATA,AVAILABLE_USED,CURRENT_FRAMEWORK,IMPLEMENTED,UNKNOWN,False,False,True,False,False,NOT_YET_ELIGIBLE,NO,"NO (no live sportsbook price exists for any NHL prop market yet, confirmed empirically 2026-08-30)",NO (requires market no-vig P),NO (requires real market price),NOT_STARTED (2026-27 season not begun),INSUFFICIENT_TAIL_DATA: real sample too thin at this threshold,"research/player_sog_results.json confidence_breakdown/season_breakdown, thresholds 2-5. 1+ never separately tested (near-universal base rate, not a real book market). 6+/7+/8+ never bootstrap-validated -- real tail sparsity, not extrapolated."
PLAYER_SOG_7PLUS,Player 7+ SOG,PLAYER_SOG,PLAYER_SHOT_GENERATION|PLAYER_ACTIVE_ROLE_TOI,P(player SOG >= n),INSUFFICIENT_TAIL_DATA,INSUFFICIENT_TAIL_DATA,AVAILABLE_USED,CURRENT_FRAMEWORK,IMPLEMENTED,UNKNOWN,False,False,True,False,False,NOT_YET_ELIGIBLE,NO,"NO (no live sportsbook price exists for any NHL prop market yet, confirmed empirically 2026-08-30)",NO (requires market no-vig P),NO (requires real market price),NOT_STARTED (2026-27 season not begun),INSUFFICIENT_TAIL_DATA: real sample too thin at this threshold,"research/player_sog_results.json confidence_breakdown/season_breakdown, thresholds 2-5. 1+ never separately tested (near-universal base rate, not a real book market). 6+/7+/8+ never bootstrap-validated -- real tail sparsity, not extrapolated."
PLAYER_SOG_8PLUS,Player 8+ SOG,PLAYER_SOG,PLAYER_SHOT_GENERATION|PLAYER_ACTIVE_ROLE_TOI,P(player SOG >= n),INSUFFICIENT_TAIL_DATA,INSUFFICIENT_TAIL_DATA,AVAILABLE_USED,CURRENT_FRAMEWORK,IMPLEMENTED,UNKNOWN,False,False,True,False,False,NOT_YET_ELIGIBLE,NO,"NO (no live sportsbook price exists for any NHL prop market yet, confirmed empirically 2026-08-30)",NO (requires market no-vig P),NO (requires real market price),NOT_STARTED (2026-27 season not begun),INSUFFICIENT_TAIL_DATA: real sample too thin at this threshold,"research/player_sog_results.json confidence_breakdown/season_breakdown, thresholds 2-5. 1+ never separately tested (near-universal base rate, not a real book market). 6+/7+/8+ never bootstrap-validated -- real tail sparsity, not extrapolated."
PLAYER_BLOCKS_1PLUS,Player 1+ Blocked Shots,PLAYER_BLOCKED_SHOTS,PLAYER_BLOCK_EVENT_GENERATION|PLAYER_ACTIVE_ROLE_TOI,P(player blocks >= n),VALIDATED,VALIDATED,AVAILABLE_USED,CURRENT_FRAMEWORK,IMPLEMENTED,UNKNOWN,False,False,True,False,False,ELIGIBLE,YES,"NO (no live sportsbook price exists for any NHL prop market yet, confirmed empirically 2026-08-30)",NO (requires market no-vig P),NO (requires real market price),NOT_STARTED (2026-27 season not begun),"No live DraftKings price posted yet (preseason, confirmed empirically 2026-08-30)","research/player_blocks_results.json, HEADLINE_THRESHOLDS=(1,2,3). 4+ never tested (real sparsity: mean 0.878 blocks/game, 50% zero-rate)."
PLAYER_BLOCKS_2PLUS,Player 2+ Blocked Shots,PLAYER_BLOCKED_SHOTS,PLAYER_BLOCK_EVENT_GENERATION|PLAYER_ACTIVE_ROLE_TOI,P(player blocks >= n),VALIDATED,VALIDATED,AVAILABLE_USED,CURRENT_FRAMEWORK,IMPLEMENTED,UNKNOWN,False,False,True,False,False,ELIGIBLE,YES,"NO (no live sportsbook price exists for any NHL prop market yet, confirmed empirically 2026-08-30)",NO (requires market no-vig P),NO (requires real market price),NOT_STARTED (2026-27 season not begun),"No live DraftKings price posted yet (preseason, confirmed empirically 2026-08-30)","research/player_blocks_results.json, HEADLINE_THRESHOLDS=(1,2,3). 4+ never tested (real sparsity: mean 0.878 blocks/game, 50% zero-rate)."
